song_name,artist_name,artist_pop,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Running Up That Hill (A Deal With God),Kate Bush,81,Hounds Of Love,0.629,0.547,-13.123,0.055,0.72,0.00314,0.0604,0.197,108.375,298933
As It Was,Harry Styles,91,As It Was,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,167303
Sunroof,Nicky Youre,73,Sunroof,0.768,0.716,-5.11,0.0404,0.35,0,0.15,0.841,131.43,163026
Heat Waves,Glass Animals,80,Dreamland (+ Bonus Levels),0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805
About Damn Time,Lizzo,81,About Damn Time,0.836,0.743,-6.305,0.0656,0.0995,0,0.335,0.722,108.966,191822
Glimpse of Us,Joji,85,Glimpse of Us,0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456
Bad Habit,Steve Lacy,83,Gemini Rights,0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946,232067
STAY (with Justin Bieber),The Kid LAROI,83,STAY (with Justin Bieber),0.591,0.764,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,141806
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,88,Enemy (with JID) [from the series Arcane League of Legends],0.728,0.783,-4.424,0.266,0.237,0,0.434,0.555,77.011,173381
First Class,Jack Harlow,84,First Class,0.905,0.563,-6.135,0.102,0.0254,9.71e-06,0.113,0.324,106.998,173948
Afraid To Feel,LF SYSTEM,68,Afraid To Feel,0.578,0.912,-3.929,0.114,0.0166,0.00362,0.273,0.68,127.87,177525
Betty (Get Money),Yung Gravy,75,Betty (Get Money),0.723,0.772,-6.784,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,146471
abcdefu,GAYLE,71,abcdefu,0.695,0.54,-5.692,0.0493,0.299,0,0.367,0.415,121.932,168602
Being Good Is Boring,Jena Rose,40,Being Good Is Boring,0.767,0.758,-3.191,0.084,0.0368,0,0.0682,0.844,111.986,160982
MIDDLE OF THE NIGHT,Elley Duhé,75,MIDDLE OF THE NIGHT,0.41,0.611,-8.271,0.0467,0.0228,0,0.116,0.0899,185.727,184448
Envolver,Anitta,80,Envolver,0.812,0.736,-5.421,0.0833,0.152,0.00254,0.0914,0.396,91.993,193806
AMG,Jt5k,36,AMG,0.802,0.509,-6.889,0.181,0.0283,0,0.307,0.0567,87.849,135000
SNAP,Rosa Linn,74,SNAP,0.563,0.639,-8.205,0.0684,0.107,1.06e-05,0.446,0.518,169.985,179551
Baby Girl,Disco Lines,59,Baby Girl,0.73,0.907,-3.72,0.0606,0.0921,0.114,0.23,0.249,120.968,111074
Flex On My Ex (with Bankrol Hayden),KillBunk,60,Flex On My Ex (with Bankrol Hayden),0.619,0.707,-8.033,0.099,0.00601,0,0.0946,0.365,85.285,166805
House of Memories,Panic! At The Disco,78,Death of a Bachelor,0.506,0.817,-5.051,0.0335,0.00272,0,0.0486,0.506,109.952,208707
The Plan,Arman Aydin,64,The Plan,0.812,0.653,-5.849,0.0361,0.0059,0,0.105,0.864,124.034,135484
Thousand Miles,The Kid LAROI,83,Thousand Miles,0.376,0.657,-4.658,0.0768,0.0858,0,0.0884,0.203,80.565,164782
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,81,INDUSTRY BABY (feat. Jack Harlow),0.736,0.704,-7.409,0.0615,0.0203,0,0.0501,0.894,149.995,212000
Until I Found You,Stephen Sanchez,74,Until I Found You,0.539,0.508,-6.05,0.0288,0.727,0,0.174,0.227,101.358,177720
Oh No,Kreepa,41,Cold As Ice,0.541,0.527,-7.438,0.147,0.00279,0.000509,0.286,0.429,176.123,166504
Cooped Up (with Roddy Ricch),Post Malone,89,Cooped Up,0.669,0.773,-5.619,0.153,0.038,0,0.113,0.377,93.923,185857
TO THE MOON,Jnr Choi,63,TO THE MOON,0.745,0.65,-11.814,0.346,0.0451,0.00758,0.111,0.386,144.047,152137
Dreamer,Astelle,32,Dreamer,0.744,0.848,-5.073,0.0993,0.0811,1.12e-05,0.0889,0.823,150.056,178913
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,63,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version],0.827,0.456,-9.246,0.0942,0.622,9.79e-05,0.109,0.689,114.269,135978
Pepas,YES YES,54,Pepas,0.691,0.823,-4.974,0.0626,0.0235,0,0.0781,0.149,125.973,134330
Bam Bam (feat. Ed Sheeran),Camila Cabello,82,Familia,0.756,0.697,-6.377,0.0401,0.182,0,0.333,0.956,94.996,206071
Fever - Remix,XY&O,31,Fever (Remix),0.782,0.586,-6.067,0.0567,0.0608,0.00409,0.115,0.724,120.018,156000
On My Way!,P.S.,39,On My Way!,0.797,0.666,-6.588,0.0363,0.167,0.000131,0.104,0.855,119.021,177080
Another Love,Tom Odell,74,Long Way Down (Deluxe),0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360
Frozen,Madonna,77,Frozen,0.706,0.633,-9.584,0.0419,0.267,0.0192,0.175,0.375,110.005,120157
Riptide,Viva La Panda,56,Riptide,0.621,0.847,-6.108,0.278,0.0584,1.11e-06,0.109,0.373,101.996,172431
Down Under (feat. Colin Hay),Luude,68,Down Under (feat. Colin Hay),0.308,0.861,-4.112,0.172,0.012,0.00103,0.277,0.0386,171.966,158774
Meet Me At Our Spot,THE ANXIETY,65,THE ANXIETY,0.773,0.47,-7.93,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680
When You're Gone,Paradigm,62,When You're Gone,0.783,0.753,-5.003,0.325,0.0117,0,0.139,0.663,124.036,145161
That Bxtch,Taylor Watson,29,That Bxtch,0.645,0.681,-5.961,0.139,0.037,0,0.0783,0.458,163.87,142644
Long Road,HotBlock Jmoe,34,Long Road,0.738,0.685,-8.113,0.409,0.135,0,0.4,0.663,162.039,204000
Without You,John De Sohn,61,Without You,0.643,0.745,-5.554,0.0619,0.0449,0,0.0916,0.461,124.968,182613
Light Switch,Charlie Puth,83,Light Switch (Instrumental),0.69,0.626,-5.693,0.306,0.105,0.000335,0.0881,0.912,184.009,185681
I Wanna Know,Alex Alexander,46,I Wanna Know,0.772,0.754,-4.57,0.05,0.348,0.397,0.0784,0.88,112.043,149787
1, 2, 3 (feat. Jason Derulo & De La Ghetto),Sofía Reyes,72,1, 2, 3 (feat. Jason Derulo & De La Ghetto),0.792,0.895,-3.112,0.0589,0.165,0,0.0501,0.794,94.968,201526
credit union,Kinrose,41,credit union,0.776,0.656,-8.921,0.13,0.329,0,0.119,0.649,148.95,183465
love nwantiti (ah ah ah),CKay,73,CKay The First,0.727,0.739,-3.805,0.0411,0.365,0.00137,0.161,0.533,93.005,145800
Bad Habits,Ed Sheeran,90,Bad Habits,0.808,0.897,-3.712,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041
Leap of Faith,Alex Alexander,46,Leap of Faith,0.557,0.802,-4.429,0.0541,0.00924,0.000708,0.569,0.778,169.893,191080
Ocean Eyes,Farux,45,Ocean Eyes,0.729,0.763,-7.677,0.0345,0.668,0.0264,0.147,0.113,125.989,137029
Chaa Chaa Chaa (feat. HoodCelebrityy),Girll Codee,29,Chaa Chaa Chaa (feat. HoodCelebrityy),0.808,0.592,-6.382,0.415,0.431,0,0.426,0.628,139.925,185376
Late Night Talking,Harry Styles,91,Harry's House,0.714,0.728,-4.595,0.0468,0.298,0,0.106,0.901,114.996,177955
Moi... Lolita,Monaldin,47,Moi... Lolita,0.796,0.66,-6.695,0.0505,0.0531,2.73e-05,0.319,0.735,109.92,158312
Warning / Signs,Matvey Emerson,51,Warning / Signs,0.712,0.829,-8.167,0.03,0.0891,0.0279,0.168,0.541,121.976,155410
Serenity,Shab,37,Serenity,0.688,0.595,-8.094,0.0508,0.0515,2.7e-06,0.0853,0.312,117.979,202507
MAMIII,Becky G,81,MAMIII,0.843,0.7,-3.563,0.0803,0.0934,0,0.14,0.899,93.991,226088
Running To You (feat. Caden),VINAI,64,Running To You (feat. Caden),0.579,0.727,-5.149,0.0399,0.0321,0,0.714,0.246,124.09,183091
Good Morning,P.S.,39,Good Morning,0.732,0.511,-5.101,0.0413,0.15,8.92e-06,0.059,0.691,171.907,161423
MONTERO (Call Me By Your Name),Lil Nas X,81,MONTERO (Call Me By Your Name),0.61,0.508,-6.682,0.152,0.297,0,0.384,0.758,178.818,137876
Tainted Love,Thatsimo,44,Tainted Love,0.646,0.765,-7.586,0.0448,0.0437,0.000141,0.159,0.362,126.024,146667
Build a Bitch,Bella Poarch,65,Build a Bitch,0.855,0.463,-7.454,0.0367,0.217,1.77e-05,0.347,0.866,102.931,122773
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,64,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),0.87,0.523,-8.052,0.0602,0.433,2.07e-05,0.113,0.319,110.02,204764
Can't Get You Out of My Head,loafers,48,Can't Get You Out of My Head,0.642,0.61,-9.194,0.0992,0.16,6.89e-06,0.408,0.294,129.886,168000
THATS WHAT I WANT,Lil Nas X,81,MONTERO,0.737,0.846,-4.51,0.22,0.00614,0,0.0486,0.546,87.981,143901
We Know,JAM & Philly,21,We Know,0.871,0.819,-6.022,0.256,0.142,0,0.106,0.712,112.114,198982
Cold Heart - PNAU Remix,Elton John,82,The Lockdown Sessions,0.795,0.8,-6.32,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735
